item_type,run_id,session,subtype,value,times_drawn,expected_times,draws_since,last_seen,baseline_priority_score,why_flagged,source_url
pair,RUN013,Midday,Front Pair Straight,95,91,97.6,330,2025-06-13,2.467623,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN010,Midday|Evening|Night,Split Pair Box,58,494,502,170,2026-03-14,2.465936,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,67,159,,169,2026-03-14,2.44,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN026,Evening,Back Pair Straight,04,118,119.7,335,2025-06-08,2.439202,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN005,Midday|Evening|Night,Front Pair from Box Combination,19,77,,167,2026-03-15,2.42,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN013,Midday,Front Pair Straight,11,95,97.6,327,2025-06-16,2.411639,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN014,Midday,Front Pair Box,11,95,97.6,327,2025-06-16,2.411639,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN003,Midday|Evening|Night,Front Pair Straight,22,252,251,329,2026-01-20,2.395,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN004,Midday|Evening|Night,Front Pair Box,22,252,251,329,2026-01-20,2.395,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN039,Night,Split Pair Straight,42,32,33.7,318,2025-06-25,2.390445,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN029,Evening,Split Pair Straight,44,133,119.7,328,2025-06-15,2.39,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN027,Evening,Back Pair Box,47,223,239.3,157,2025-12-03,2.388115,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN033,Night,Front Pair Straight,94,30,33.7,305,2025-07-08,2.384792,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN036,Night,Back Pair Straight,42,31,33.7,309,2025-07-04,2.375119,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN012,Midday,Any Position Box,59,536,526.9,60,2026-03-10,2.371622,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,68,285,,161,2026-03-17,2.36,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN023,Evening,Front Pair Straight,71,133,119.7,319,2025-06-24,2.345,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN023,Evening,Front Pair Straight,40,116,119.7,310,2025-07-03,2.330911,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN012,Midday,Any Position Box,22,261,273.2,109,2026-01-20,2.329867,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN037,Night,Back Pair Box,59,69,67.5,157,2025-12-03,2.32,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN036,Night,Back Pair Straight,45,35,33.7,313,2025-06-30,2.315,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN029,Evening,Split Pair Straight,82,121,119.7,311,2025-07-02,2.305,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN039,Night,Split Pair Straight,73,42,33.7,310,2025-07-03,2.3,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN019,Midday,Split Pair Straight,41,98,97.6,304,2025-07-09,2.27,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN023,Evening,Front Pair Straight,89,121,119.7,300,2025-07-13,2.25,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN036,Night,Back Pair Straight,13,21,33.7,261,2025-08-21,2.031855,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN006,Midday|Evening|Night,Back Pair Straight,96,208,251,283,2026-02-04,1.936315,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN039,Night,Split Pair Straight,33,26,33.7,271,2025-08-11,1.933487,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN040,Night,Split Pair Box,33,26,33.7,271,2025-08-11,1.933487,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN033,Night,Front Pair Straight,02,27,33.7,274,2025-08-08,1.918813,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN039,Night,Split Pair Straight,68,25,33.7,258,2025-08-24,1.89816,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN023,Evening,Front Pair Straight,65,107,119.7,287,2025-07-26,1.891099,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN036,Night,Back Pair Straight,96,19,33.7,220,2025-10-01,1.886202,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN026,Evening,Back Pair Straight,11,99,119.7,272,2025-08-10,1.882932,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN027,Evening,Back Pair Box,11,99,119.7,272,2025-08-10,1.882932,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN009,Midday|Evening|Night,Split Pair Straight,46,225,251,283,2026-02-04,1.868586,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN026,Evening,Back Pair Straight,23,119,119.7,298,2025-07-15,1.845848,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN019,Midday,Split Pair Straight,10,80,97.6,263,2025-08-19,1.845328,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN005,Midday|Evening|Night,Front Pair from Box Combination,37,426,,149,2026-03-21,1.84,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN010,Midday|Evening|Night,Split Pair Box,37,535,502,149,2026-03-21,1.84,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN039,Night,Split Pair Straight,91,30,33.7,275,2025-08-07,1.834792,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN026,Evening,Back Pair Straight,60,120,119.7,293,2025-07-20,1.815,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN034,Night,Front Pair Box,35,64,67.5,141,2025-12-19,1.811852,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN023,Evening,Front Pair Straight,91,115,119.7,284,2025-07-29,1.809265,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN010,Midday|Evening|Night,Split Pair Box,03,491,502,143,2026-03-23,1.801912,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN023,Evening,Front Pair Straight,08,122,119.7,288,2025-07-25,1.79,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN029,Evening,Split Pair Straight,04,133,119.7,288,2025-07-25,1.79,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN040,Night,Split Pair Box,69,63,67.5,137,2025-12-23,1.786667,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN009,Midday|Evening|Night,Split Pair Straight,83,259,251,287,2026-02-03,1.785,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN026,Evening,Back Pair Straight,53,131,119.7,287,2025-07-26,1.785,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN008,Midday|Evening|Night,Back Pair from Box Combination,03,73,,143,2026-03-23,1.78,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN013,Midday,Front Pair Straight,94,101,97.6,285,2025-07-28,1.775,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN029,Evening,Split Pair Straight,75,132,119.7,285,2025-07-28,1.775,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN003,Midday|Evening|Night,Front Pair Straight,73,245,251,280,2026-02-05,1.773904,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN008,Midday|Evening|Night,Back Pair from Box Combination,05,78,,142,2026-03-23,1.77,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN033,Night,Front Pair Straight,23,36,33.7,283,2025-07-30,1.765,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN013,Midday,Front Pair Straight,76,104,97.6,281,2025-08-01,1.755,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN026,Evening,Back Pair Straight,48,124,119.7,281,2025-08-01,1.755,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN036,Night,Back Pair Straight,36,31,33.7,264,2025-08-18,1.750119,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN005,Midday|Evening|Night,Front Pair from Box Combination,25,658,,140,2026-03-24,1.75,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN008,Midday|Evening|Night,Back Pair from Box Combination,25,338,,140,2026-03-24,1.75,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
